ObjectId,Year,FedID,CDCode,CDSCode,CountyName,DistrictName,DistrictType,GradeLow,GradeHigh,CongressUS,SenateCA,AssemblyCA,GlobalID,LLMFunding,CARESFunding,Funding3,lea,county,school_district,school_name,school_code,operational_status,grades,is_50_percent,is_in_person,is_cohort,cohort_grades,district_school_notfound,is_safety_plan,reopening_plan,school_grades_served,operational_status_elem,operational_status_middle,operational_status_high,SHAPE__Area,SHAPE__Length,CreationDate,String2,String1,String3,Double1,email_address,is_reopening,near_term_opening_date,is_reopening_elem,elem_reopening_date,is_reopening_middle,middle_reopening_date,is_reopening_high,high_reopening_date
1,,,,,Alpine,Alpine County Office of Education,,,,,,,9626b198-231e-4df7-a48f-4da6be645f41,40517.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,0,,,,,,,,,
2,,,,,Madera,Madera County Superintendent of Schools,,,,,,,2199767e-afcc-4198-ae5f-8b246648b1ef,1328546.0,222852.0,1175024.0,,,,,,,,,No,Yes,"Elementary,High",,No,,"Elementary,Middle,High",Distance Learning Only,Distance Learning Only,Distance Learning Only,,,1615221985000.0,No,Yes,No,0,jdrake@mcsos.org,No,,No,,No,,No,
3,,,,,Orange,Orange County Department of Education,,,,,,,49aab963-0182-4a9e-b68d-2a8dfa48a8c1,8084157.0,2376388.0,9431038.0,,,,,,,,,Yes,,,,Yes,https://ocde.us/ACCESS/Pages/COVID-19-Parent-and-Student-Information.aspx,"Elementary,Middle,High",Hybrid,Hybrid,Hybrid,,,1615248948536.0,Yes,Yes,No,0,dcole@ocde.us,,,,,,,,
4,,,,,San Joaquin,Karl Holton School for Boys,,,,,,,84bcc65f-d3cc-4bb8-b8bb-1793066a24a8,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,0,,,,,,,,,
5,,,,,San Joaquin,Lammersville Elementary,,,,,,,e7271654-8c1b-456b-bf45-15e0333ae4db,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,0,,,,,,,,,
6,,,,,San Joaquin,Northern California Youth Cent,,,,,,,ccfcc8cd-0902-4af8-8db0-748a567fab05,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,0,,,,,,,,,
7,,,,,Sonoma,Petaluma City Elementary Joint Union High,,,,,,,e2491f9f-c355-42bb-80f6-d9b74db73141,,,,,,,,,,,,No,Yes,"Elementary,Middle,High",,Yes,https://www.petalumacityschools.org/Page/5094,"Elementary,Middle,High",Distance Learning Only,Distance Learning Only,Distance Learning Only,,,1615222950826.0,No,Yes,No,0,mwoelfel@petk12.org,Yes,1618862400000.0,Yes,1618257600000.0,Yes,1618862400000.0,Yes,1618862400000.0
8,,,,,Stanislaus,La Grange Elementary,,,,,,,f42f5f9b-947b-43c2-8953-1a0e8bd07971,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,0,,,,,,,,,
9,,,,,Stanislaus,Modesto City Schools,,,,,,,d7271ee2-16f5-4b1e-a40d-e45b0fd0359a,,,,,,,,,,,,No,Yes,Elementary Middle High,,Yes,https://www.mcs4kids.com/documents/enews/2020-2021/2021-02-01-MCS-COVID-19-SafetyPlan-PreK-6.pdf,Elementary Middle High,Hybrid,Distance Learning Only,Distance Learning Only,,,1614034866398.0,No,Yes,No,0,,,,,,,,,
10,,,,,Stanislaus,Oakdale Joint Union High,,,,,,,2dc756f9-b0bf-4643-ad6c-451b9e9b991f,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,0,,,,,,,,,
11,,,,,Tehama,Tehama County Department of Education,,,,,,,f5a1369d-2ec5-4c72-b9dd-fd3b75171f3c,316069.0,60164.0,238773.0,,,,,,,,,Yes,,,,Yes,https://www.tehamaschools.org/documents/Board/State--Federal-Postings/Tehama%20County%20LEA%20COVID%20Safety%20Plan%20Final_01_25_2021%20-1-.pdf,"Elementary,Middle,High",In-Person,In-Person,In-Person,,,1615221472638.0,Yes,Yes,No,0,jsouthwick@tehamaschools.org,,,,,,,,
12,,,,,Tuolumne,Tuolumne County Superintendent of Schools,,,,,,,cff291cd-a1f8-4762-bfc6-06986943a1d0,348276.0,28534.0,120761.0,,,,,,,,,Yes,,,,Yes,https://drive.google.com/drive/folders/1sE4TVtQnQ2eKAglN0mbvR7hsBc3xLLb8,"Elementary,Middle,High",In-Person,In-Person,In-Person,,,1615219348118.0,Yes,Yes,No,0,cparker@tcsos.us,,,,,,,,
13,,,,37771640137356,San Diego,SBE - College Preparatory Middle,,,,,,,ef88a824-ab77-4a5f-80a2-2a9985783d80,163295.0,0.0,178216.0,,,,,,,,,,,,,,,,,,,1648.9453125,162.428600005805,,No,Yes,No,0,,,,,,,,,
14,2018-19,0632340,4970888,49708880000000,Sonoma,Kashia Elementary,Elementary,KG,08,02,02,02,36d9d8cc-52d9-4b5d-9aae-bbed5bf17bc8,21438.0,0.0,0.0,,,,,,,,,,,,,,,,,,,282128.80859375,2134.67222438758,,No,Yes,No,0,,,,,,,,,
15,2018-19,0623130,4369542,43695420000000,Santa Clara,Luther Burbank,Elementary,KG,08,"18,19","10,15",28,abb1f35c-cec5-498c-b0a8-7fe0b04f84e5,582680.0,66771.0,264988.0,,,,,,,,,Yes,,,,Yes,https://www.lbsd.k12.ca.us/domain/165,"Elementary,Middle",In-Person,Hybrid,,1081548.73828125,7053.54742149571,1615223597824.0,Yes,Yes,No,0,emourtos@lbsdk8.org,,,,,,,,
16,2018-19,0617040,1964600,19646000000000,Los Angeles,Hermosa Beach City Elementary,Elementary,KG,08,33,26,66,edb307ba-fe9e-4948-9b13-650063517660,485617.0,0.0,484285.0,,,,,,,,,Yes,,,,Yes,https://hbcsd.org/files/user/4/file/CalOSHA%20-HBCSD%20COVID-19%20Prevention%20Program.pdf,"Elementary,Middle",Hybrid,Distance Learning Only,,5369475.7734375,10518.5774442558,1615594271469.0,Yes,Yes,No,0,sgluck@hbcsd.org,Yes,1617048000000.0,,,Yes,1617048000000.0,,
17,2018-19,0621420,1964709,19647090000000,Los Angeles,Lennox,Elementary,KG,12,43,35,62,7261cfeb-4b90-4fd0-9bb2-99027bbec6b7,6924268.0,1728865.0,6510129.0,,,,,,,,,No,No,,,No,,"Elementary,Middle",Distance Learning Only,Distance Learning Only,,6233871.02734375,11246.0405589388,1615224990551.0,No,Yes,No,0,becki_blanco@lennoxk12.org,No,,No,,No,,,
18,2018-19,0633510,4970904,49709040000000,Sonoma,Roseland,Elementary,KG,12,05,02,10,c6039433-5cfe-4f72-b44d-b04457ece79f,1909510.0,237476.0,923102.0,,,,,0,,,,No,No,,,No,,Elementary,Distance Learning Only,,,6880948.55859375,11392.5688450549,1615294288016.0,No,Yes,No,0,lbiggers@roselandsd.org,Yes,1618948800000.0,Yes,1618344000000.0,,,,
19,2018-19,0601860,0161127,01611270000000,Alameda,Albany City Unified,Unified,KG,12,13,09,15,5096e832-3ef2-4e6f-81af-6a1f47fddb1c,1675488.0,146858.0,582825.0,,,,,,,,,No,Yes,"Elementary,Middle,High",,Yes,https://www.ausdk12.org/apps/pages/index.jsp?uREC_ID=1692849&type=d&pREC_ID=2094183,"Elementary,Middle,High",Distance Learning Only,Distance Learning Only,Distance Learning Only,7161276.078125,12870.7721555487,1615224418675.0,Yes,Yes,No,0,aritchie@ausdk12.org,Yes,1617652800000.0,Yes,1615838400000.0,Yes,1617652800000.0,Yes,1617652800000.0
20,2018-19,0636030,3066696,30666960000000,Orange,Savanna Elementary,Elementary,KG,06,"46,47",29,65,118d8d3d-ea13-498c-9b91-039fe3017c49,2269833.0,451466.0,1791707.0,,,,,,,,,No,No,,,Yes,https://www.savsd.k12.ca.us/,Elementary,Hybrid,,,8709969.00390625,12877.481339884,1615220069575.0,No,Yes,No,0,eric.fano@savsd.org,,,,,,,,
21,2018-19,0630330,0161275,01612750000000,Alameda,Piedmont City Unified,Unified,KG,12,13,09,15,c61176d9-4401-4ff2-bf6e-8a12032022b1,1027907.0,29166.0,0.0,,,,,,,,,No,No,,,Yes,http://www.piedmont.k12.ca.us/blog/2021/01/31/pusd-covid-19-safety-plan/,Elementary Middle High,Hybrid,Hybrid,Distance Learning Only,7069858.26171875,13277.3186869115,1614036613547.0,Yes,Yes,No,0,,,,,,,,,
22,2018-19,0612630,0161168,01611680000000,Alameda,Emery Unified,Unified,KG,12,13,09,15,14283144-619e-4dd2-b269-1db8fe13ff11,763904.0,80562.0,319723.0,,,,,,,,,No,Yes,"Elementary,Middle",,No,,"Elementary,Middle,High",Distance Learning Only,Distance Learning Only,Distance Learning Only,5368211.4765625,13762.8692917948,1615387864928.0,Yes,Yes,No,0,quiauna.scott@emeryusd.org,No,,No,,No,,No,
23,2018-19,0604200,4168858,41688580000000,San Mateo,Bayshore Elementary,Elementary,KG,08,14,"11,13","19,22",8a535143-5800-4d54-890d-c6ea42dbfb18,288125.0,75373.0,256655.0,,,,,,,,,No,Yes,Elementary,,Yes,www.thebayshoreschool.org,"Elementary,Middle",Distance Learning Only,Distance Learning Only,,7144818.38671875,15864.5568648529,1615233661162.0,Yes,Yes,No,0,apittman@thebayshoreschool.org,Yes,1618862400000.0,Yes,1616443200000.0,Yes,1617048000000.0,,
24,2018-19,0637500,1965029,19650290000000,Los Angeles,South Pasadena Unified,Unified,KG,12,27,25,41,40bf9864-3e02-418b-98ee-150dbff7db2a,1987469.0,236892.0,1051328.0,,,,,,Triaged Non-registered,,,No,Yes,Middle High,,Yes,Spusd.net,Elementary Middle High,Distance Learning Only,Distance Learning Only,Distance Learning Only,12973943.5351563,16174.6965569109,1612829830463.0,No,Yes,No,0,,,,,,,,,
25,2018-19,0612210,1964535,19645350000000,Los Angeles,El Segundo Unified,Unified,KG,12,33,26,62,62358673-8f2c-4fa1-80c9-3c0816b83a4c,1346829.0,251479.0,954184.0,,,,,,,,,Yes,,,,Yes,https://www.elsegundousd.net/apps/pages/index.jsp?uREC_ID=1700068&type=d&pREC_ID=1861910,"Elementary,Middle,High",Hybrid,Distance Learning Only,Distance Learning Only,12876397.0390625,16258.8400376296,1615593767102.0,Yes,Yes,No,0,dfarris@esusd.net,No,,,,No,,No,
