ObjectId_1,CDSCode,FederalSchoolID,FederalCharterDistrictID,County,District,School,Status,OpenDate,ClosedDate,Charter,CharterNumber,FundingType,EducationalOptionsType,EntityType,LowGrade,HighGrade,VirtualInstructionType,Magnet,YearRound,Public_,Multilingual,LastUpdate,StreetAddress,StreetCity,StreetState,StreetZip,MailingAddress,MailingCity,MailingState,MailingZip,Phone,PhoneExtension,FaxNumber,AdministratorName,AdministratorPhone,Latitude,Longitude,AdministratorPhoneExt,Email,AdministratorEmail,Website,ObjectId,x,y,GlobalID,LLMFunding,CARESFunding,Funding3,String1,String2,String3,String4,String5,Double1,Double2,Double3,Double4,Double5,Date1,Date2,Date3,Date4,Date5,lea,school_district,school_name,school_code,operational_status,grades,is_50_percent,is_in_person,is_cohort,cohort_grades,district_school_notfound,is_safety_plan,reopening_plan,school_grades_served,operational_status_elem,operational_status_middle,operational_status_high,CreationDate,email_address,is_reopening,near_term_opening_date,is_reopening_elem,elem_reopening_date,is_reopening_middle,middle_reopening_date,is_reopening_high,high_reopening_date
1,10621667099294,10621667099294,,Fresno,Fresno Unified,CALIFORNIA CHRISTIAN ACADEMY PSSP,Active,331282800000,,N,,,,K-12 Schools (Private),K,12,,,N,N,,1609315200000,1919 S Bundy Dr,Fresno,CA,93727-6204,1919 S Bundy Dr,Fresno,CA,93727,(559) 251-9403,,,Karon Ruiz,,36.723547,-119.685247,,ccapssp@comcast.net,karonruiz2@comcast.net,,,-119.685247,36.723547,18d6d610-c25c-49d4-9ce7-878a3efee9aa,,,,Yes,No,,,,,,,,,,,,,,Private,,CALIFORNIA CHRISTIAN ACADEMY PSSP,,,K 1 2 3 4 5 6 7 8 9 10 11 12,,No,No,,,No,,Elementary Middle High,Distance Learning Only,Distance Learning Only,Distance Learning Only,1611772346508.0,,,,,,,,,
2,33672157022619,33672157022619,,Riverside,Riverside Unified,SOMERSET,Active,331282800000,,N,,,Nonpublic Nonsectarian Certified School,K-12 Schools (Private),K,12,,,N,N,,1609228800000,17241 Van Buren Blvd,Riverside,CA,92504-5942,17241 Van Buren Blvd,Riverside,CA,92504-5942,(951) 789-4405,,,Stacy McIntyre,,33.882184,-117.36218,,lvaccaro@somerseteducation.com,smcintyre@somerseteducation.com,,,-117.36218,33.882184,c336718e-dea5-49d9-b289-28bad462d76b,,,,Yes,Yes,,,,,,,,,,,,,,Private,,SOMERSET,,,"1,2,3,4,5,6,7,8,9,10,11,12",,,No,,,Yes,www.somerseteducation.com,"Elementary,Middle,High",Distance Learning Only,Distance Learning Only,Distance Learning Only,1615218758513.0,tburns@altusacademy.com,No,,No,,No,,No,
3,30666216999015,30666216999015,,Orange,Orange Unified,FAR HORIZONS MONTESSORI,Active,331282800000,,N,,,,Elementary School (Private),K,8,,,N,N,,1609228800000,264 N Main St,Orange,CA,92868-2439,264 N Main St,Orange,CA,92868-2439,(714) 997-8333,,,Susan Foster,,33.79089,-117.866727,,fhmontessori264@att.net,fhmontessori264@att.net,,,-117.866727,33.79089,257b465e-a6b0-43a7-9d94-13d027428078,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,19647336964126,19647336964126,,Los Angeles,Los Angeles Unified,ST JOSEPH THE WORKER ELEMENTARY,Active,331282800000,,N,,,,Elementary School (Private),K,8,,,N,N,,1609228800000,19812 Cantlay St,Winnetka,CA,91306-3005,19812 Cantlay St,Winnetka,CA,91306-3005,(818) 341-6616,,,CJ Kruska,,34.202092,-118.566216,,cjkruska@la-archdiocese.org,cjkruska@la-archdiocese.org,,,-118.566216,34.202092,fb3de3c1-4731-42d4-aaf5-c193e9bd1cb1,,,,Yes,Yes,,,,,,,,,,,,,,Private,,ST JOSEPH THE WORKER ELEMENTARY,,,"TK,K,1,2,3,4,5,6,7,8",,,No,,,Yes,https://www.sjwschool.net/apps/news/article/1380667,"Elementary,Middle",Distance Learning Only,Distance Learning Only,,1615232476957.0,Mr.Kruska@sjwschool.net,Yes,1618862400000.0,Yes,1615924800000.0,Yes,1618257600000.0,,
5,10621666149280,10621666149280,,Fresno,Fresno Unified,FRESNO CALIFORNIA ACADEMY,Active,1430377200000,,N,,,,High Schools (Private),9,12,,,N,N,,1609228800000,4734 West Clinton Ave Number 101,Fresno,CA,93722,4734 West Clinton Ave Number 101,Fresno,CA,93722,(559) 475-8592,,,John Houston,,36.772101,-119.878741,,info@fresnocaliforniaacademy.org,jhouston@fresnocaliforniaacademy.org,www.fresnocaliforniaacademy.org,,-119.878741,36.772101,303a0f20-9303-46b7-a640-e5908404a7b1,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,30665637097116,30665637097116,,Orange,La Habra City Elementary,COMMITTED CHRISTIAN SCHOOL,Active,331282800000,,N,,,,Elementary School (Private),K,12,,,N,N,,1609228800000,1370 South Euclid St,La Habra,CA,90631-7307,1370 South Euclid St,La Habra,CA,90631-7307,(714) 446-6222,,,Lisa Vallejo,,33.914837,-117.946237,,homeschool@calvarylh.org,homeschool@calvarylh.org,,,-117.946237,33.914837,7fdd1bef-204b-4038-ae94-e00232efd986,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,30736437098411,30736437098411,,Orange,Tustin Unified,EDGEWOOD PREPRIMARY ACADEMY,Active,331282800000,,N,,,,Kindergartens (Private),K,K,,,N,N,,1609315200000,1091 Bryan Ave,Tustin,CA,92780-4456,1091 Bryan Ave,Tustin,CA,92780-4456,(714) 574-4755,,,Laurie Mauro,,33.743116,-117.815046,,mail@edgewoodpreprimary.com,mail@edgewoodpreprimary.com,,,-117.815046,33.743116,366e7758-f46f-4377-a923-2fed200a411b,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,30666706130561,30666706130561,,Orange,Santa Ana Unified,BLIND CHILDREN'S LEARNING CENTER,Active,1104566400000,,N,,,Nonpublic Nonsectarian Certified School,Elementary School (Private),K,2,,,N,N,,1571036400000,18542-B Vanderlip Ave,Santa Ana,CA,92705-8201,18542-B Vanderlip Ave,Santa Ana,CA,92705-8201,(714) 573-8888,,(714) 573-4944,Angela Rowe,,33.75574,-117.809425,,amiee.goulding@blindkids.org,angie.rowe@blindkids.org,www.blindkids.org,,-117.809425,33.75574,22da5539-c87d-439d-8b1e-bf91c59afb8d,,,,Yes,Yes,,,,,,,,,,,,,,Private,,BLIND CHILDRENS LEARNING CENTER,,,TK K 1 2 3 4 5 6 7 8 9 10 11 12,,No,No,,,No,,Elementary Middle High,Hybrid,Hybrid,Hybrid,1614023012426.0,meredith.cagle@blindkids.org,,,,,,,,
9,19734376982177,19734376982177,,Los Angeles,Compton Unified,LOS ANGELES ADVENTIST ACADEMY,Active,331282800000,,N,,,,K-12 Schools (Private),K,8,,,N,N,,1609228800000,846 East El Segundo Blvd,Los Angeles,CA,90059-3310,846 East El Segundo Blvd,Los Angeles,CA,90059-3310,(323) 743-8818,,,Carol Todd,,33.916331,-118.259769,,ctodd@laadventistacademy.com,ctodd@laadventistacademy.com,,,-118.259769,33.916331,3e54675e-2307-4700-b417-824f8ac5d75f,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,19648816982979,19648816982979,,Los Angeles,Pasadena Unified,SEQUOYAH SCHOOL,Active,331282800000,,N,,,,Elementary School (Private),K,12,,,N,N,,1609228800000,535 South Pasadena Ave,Pasadena,CA,91105-3001,535 South Pasadena Ave,Pasadena,CA,91105-3001,(626) 795-4351,,,James Cooper,,34.136675,-118.154113,,jcooper@sequoyahschool.org,jcooper@sequoyahschool.org,,,-118.154113,34.136675,f3d32775-5f01-4e5c-ac22-5db77b397af5,,,,Yes,Yes,,,,,,,,,,,,,,Private,,SEQUOYAH SCHOOL,,,"K,1,2,3,4,5,6,7,8,9,10,11,12",,,Yes,"Middle,High",,Yes,https://sequoyahschool.org/covid-19-information/,"Elementary,Middle,High",Hybrid,Distance Learning Only,Distance Learning Only,1615217878028.0,beagen@sequoyahschool.org,No,,,,No,,No,
11,33670826976799,33670826976799,,Riverside,Hemet Unified,HEMET ADVENTIST CHRISTIAN SCHOOL,Active,331282800000,,N,,,,Elementary School (Private),K,8,,,N,N,,1570604400000,26312 Hemet St,Hemet,CA,92544-6468,26312 Hemet St,Hemet,CA,92544-6468,(951) 927-3972,,,Melody Wuttke,,33.739413,-116.922677,,mdwuttke@gmail.com,mdwuttke@gmail.com,,,-116.922677,33.739413,062f58f4-2e9b-45d4-8de6-151aa56fd532,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,19647336964746,19647336964746,,Los Angeles,Los Angeles Unified,SAN MIGUEL CATHOLIC SCHOOL,Active,331282800000,,N,,,,Elementary School (Private),K,8,,,N,N,,1609228800000,2270 East 108th St,Los Angeles,CA,90059-1346,2270 East 108th St,Los Angeles,CA,90059-1346,(213) 306-8085,,,Maryann Davis,,33.93728,-118.231497,,mreynoso@la-archdiocese.org,mreynoso@la-archdiocese.org,,,-118.231497,33.93728,c6b9c239-1a9e-42e6-84b2-d4c1e24d45d0,,,,Yes,Yes,,,,,,,,,,,,,,Private,,SAN MIGUEL CATHOLIC SCHOOL,,,"TK,K,1,2,3,4,5,6,7,8",,,No,,,Yes,http://www.sanmiguelcatholicschool.com/news/2021/03/school-reopening-protocols/,"Elementary,Middle",Distance Learning Only,Distance Learning Only,,1615231121641.0,dflores@sanmiguelcatholicschool.com,Yes,1619467200000.0,Yes,1615320000000.0,No,,,
13,33751927098809,33751927098809,,Riverside,Temecula Valley Unified,SAINT JEANNE DE LESTONNAC,Active,331282800000,,N,,,,Elementary School (Private),K,12,,,N,N,,1609228800000,32650 Avenida Lestonnac,Temecula,CA,92592-9222,32650 Avenida Lestonnac,Temecula,CA,92592-9222,(951) 587-2505,,,Kristen Mora,,33.517192,-117.08859,,kmora@sjdls.com,kmora@sjdls.com,,,-117.08859,33.517192,027b76f3-7fd1-41d0-ab85-4a3aa043f01e,,,,Yes,Yes,,,,,,,,,,,,,,Private,,SAINT JEANNE DE LESTONNAC,,,TK K 1 2 3 4 5 6 7 8 9 10 11 12,,Yes,Yes,Elementary Middle High,,Yes,"wwwsjdls.com
",Elementary Middle High,In-Person,In-Person,In-Person,1614098856006.0,kmora@sjdls.com,,,,,,,,
14,10621666158893,10621666158893,,Fresno,Fresno Unified,LEARN ACADEMY FRESNO,Active,1566802800000,,N,,,Nonpublic Nonsectarian Certified School,K-12 Schools (Private),6,12,,,N,N,,1609228800000,3355 E Shields Ave,Fresno,CA,93726-6906,3355 E Shields Ave,Fresno,CA,93726-6906,(559) 374-2288,,,Kristi MacIsaac,,36.779897,-119.768616,,kristi.macisaac@thelearnacademy.com,kristi.macisaac@thelearnacademy.com,,,-119.768616,36.779897,ea371f24-c715-434f-8e3f-965c7d2b7784,,,,Yes,No,,,,,,,,,,,,,,Private,,LEARN ACADEMY FRESNO,,,"6,7,8,9,10,11,12",,,No,,,Yes,https://beachcitieslc.com/wp-content/uploads/2021/02/CSP.pdf,"Middle,High",,Hybrid,Hybrid,1615227880210.0,cindy.uruburu@beachcitieslc.com,,,,,,,,
15,34673147007222,34673147007222,,Sacramento,Elk Grove Unified,WILTON CHRISTIAN,Active,331282800000,,N,,,,K-12 Schools (Private),K,12,,,N,N,,1604304000000,9697 Dillard Rd,Wilton,CA,95693-9731,9697 Dillard Rd,Wilton,CA,95693-9731,(916) 687-7693,,,Peter Lovelace,,38.404731,-121.251542,,jgoble@wiltonchristian.com,info@wiltonchristian.com,,,-121.251542,38.404731,80a6c509-7bee-488b-a33c-f4f9e5646517,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,19647336964829,19647336964829,,Los Angeles,Los Angeles Unified,TRANSFIGURATION,Active,331282800000,,N,,,,Elementary School (Private),K,8,,,N,N,,1609228800000,4020 Roxton Ave,Los Angeles,CA,90008-2719,4020 Roxton Ave,Los Angeles,CA,90008-2719,(323) 292-3011,,,Evelyn Rickenbacker,,34.011789,-118.321162,,erickenbacker@transfigurationla.org,erickenbacker@transfigurationla.org,,,-118.321162,34.011789,4b0d9362-79f5-4c8d-abda-9b497112d359,,,,Yes,Yes,,,,,,,,,,,,,,Private,,TRANSFIGURATION,,,K 1 2 3 4 5 6 7 8,,No,No,,,No,,Elementary Middle,Distance Learning Only,Distance Learning Only,,1614023703026.0,erickenbacker@transfigurationla.org,,,,,,,,
17,19647336155626,19647336155626,,Los Angeles,Los Angeles Unified,GEFFEN ACADEMY AT UCLA,Active,1534230000000,,N,,,,K-12 Schools (Private),6,12,,,N,N,,1603177200000,11000 Kinross Ave,Los Angeles,CA,90095-2000,11000 Kinross Ave,Los Angeles,CA,90095-2000,(310) 794-9877,,,Sibyll Catalan,,34.059335,-118.44679,,contact@geffenacademy.ucla.edu,scatalan@geffenacademy.ucla.edu,,,-118.44679,34.059335,56f4b5a5-4ab6-4d6d-8ea6-456670ae8a55,,,,Yes,Yes,,,,,,,,,,,,,,Private,,GEFFEN ACADEMY AT UCLA,,,"6,7,8,9,10,11,12",,,Yes,"Middle,High",,Yes,https://www.geffenacademy.ucla.edu/reopening-plans,"Middle,High",,Distance Learning Only,Distance Learning Only,1615223569568.0,landerson@geffenacademy.ucla.edu,No,,,,No,,No,
18,10621666973937,10621666973937,,Fresno,Fresno Unified,CARDEN SCHOOL OF FRESNO,Active,331282800000,,N,,,,Elementary School (Private),K,8,,,N,N,,1605772800000,6901 North Maple Ave,Fresno,CA,93710-4520,6901 North Maple Ave,Fresno,CA,93710-4520,(559) 323-0126,,,Melody Ward,,36.835924,-119.745963,,m.ward@cardenschooloffresno.com,m.ward@cardenschoolofresno.com,,,-119.745963,36.835924,7af96f41-0ad6-481e-b625-4e7947d45a7d,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19647337101454,19647337101454,,Los Angeles,Los Angeles Unified,SOUTHERN CALIFORNIA CHRISTIAN ACADEMY,Active,331282800000,,N,,,,K-12 Schools (Private),1,12,,,N,N,,1609228800000,14509 Spinning Ave,Gardena,CA,90249-3249,PO Box 1446,Gardena,CA,90249-3249,(310) 715-6784,,,Janice Henry,,33.899608,-118.31901,,scca.records@gmail.com,scca.records@gmail.com,,,-118.31901,33.899608,27a545db-1f7d-4dd1-802f-213444732e73,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,33670826930085,33670826930085,,Riverside,Hemet Unified,ST JOHN'S LUTHERAN,Active,331282800000,,N,,,,Elementary School (Private),K,8,,,N,N,,1605600000000,26410 Columbia St,Hemet,CA,92544-6248,26410 Columbia St,Hemet,CA,92544-6248,(951) 925-7756,,,Stephanie Lynch,,33.738147,-116.944384,,nbellamy@stjohnshemet.org,slynch@stjohnshemet.org,,,-116.944384,33.738147,4d28f685-7e24-4a92-911d-3a9c0f416e4b,,,,Yes,Yes,,,,,,,,,,,,,,Private,,ST JOHNS LUTHERAN,,,"TK,K,1,2,3,4,5,6,7,8",,Yes,,,,Yes,"


https://www.stjohnshemet.org/uploads/3/1/2/2/31222873/st._johns_school_hemet._covid-19_safety_plan__csp_.pdf","Elementary,Middle",In-Person,In-Person,,1615846421592.0,nbellamy@stjohnshemet.org,,,,,,,,
21,19647336900476,19647336900476,,Los Angeles,Los Angeles Unified,THE HELP GROUP'S NORTH HILLS PREP,Active,331282800000,,N,,,Nonpublic Nonsectarian Certified School,K-12 Schools (Private),1,12,,,N,N,,1609228800000,15339 Saticoy St,Van Nuys,CA,91406-3345,15339 Saticoy St,Van Nuys,CA,91406-3345,(818) 267-2600,,(818) 988-9143,Elin Bradley,,34.209374,-118.467839,,fshapiro@thehelpgroup.org,ebradley@thehelpgroup.org,www.thehelpgroup.org,,-118.467839,34.209374,35fcd079-b54e-46c5-b95c-f9505eeadfdb,,,,Yes,Yes,,,,,,,,,,,,,,Private,,THE HELP GROUPS NORTH HILLS PREP,,,"1,2,3,4,5,6,7,8,9,10,11,12",,No,No,,,No,,"Elementary,Middle,High",Distance Learning Only,Distance Learning Only,Distance Learning Only,1615860784148.0,pjohnson@thehelpgroup.org,No,,No,,No,,No,
