ObjectId,CDSCode,FederalDistrictID,FederalSchoolID,FederalCharterDistrictID,County,District,School,Charter,CharterNumber,LowGrade,HighGrade,LLMFunding,GlobalID,elementary_eligibility,esser_1_fund,esser_2_fund,mid_high_eligibility,lea,school_district,school_code,school_name,latitude,longitude,grades,operational_status,is_cohort,cohort_grades,is_reopening,near_term_opening_date,barrier_inperson_other,barrier_notes,cohort_services,is_safety_plan,reopening_plan,email_address,school_tot_students,school_inperson,school_distance,school_hybrid,school_cohorts,school_employees,school_employees_onsite,CreationDate,Creator,EditDate,Editor,reopening_date,barrier_inperson,school_district_concat,elem_grade,secondary_grade,summer_offering,summer_offering_all_students,learning_acceleration,academic_intervention,targeted_intervention,enrichment,mental_health_services,wellness_services,extending_20_21,extending_21_22,other_summer_offering,fall_offering,reason_no_summer_offering,other_summer_explain
1,01611920137646,01611920137646,11849,,Alameda,Hayward Unified,IMPACT ACADEMY OF ARTS AND TECHNOLOGY,Y,836,6,12,640263.0,86b8c22a-5718-41b9-ae62-70f78c4d13ee,Yes,154493.0,634061.0,Yes,Charter,Hayward Unified,01611920137646,IMPACT ACADEMY OF ARTS AND TECHNOLOGY,37.63089,-122.102918,,Distance Learning Only,No,,,1619452800000.0,,,,Yes,https://es-impact.org/,mhighsmith@envisionschools.org,829.0,0.0,750.0,79.0,,57.0,17.0,,,,,1621440000000.0,We are offering in-person instruction as of 4/26/21,IMPACT ACADEMY OF ARTS AND TECHNOLOGY - Hayward Unified,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,,
2,01613090114421,01613090114421,11893,,Alameda,San Lorenzo Unified,KIPP KING COLLEGIATE HIGH,Y,880,9,12,555792.0,2a5890cc-6cb7-43c7-8f4e-25decfdfdd77,Yes,128412.0,509622.0,Yes,Charter,San Lorenzo Unified,01613090114421,KIPP KING COLLEGIATE HIGH,37.674319,-122.150096,,Distance Learning Only,Yes,,,,,,,Yes,CPP: https://drive.google.com/file/d/1WX602CsyapAIDgf5IL574DMpxGWwPZKz/view,covid.ops@kippnorcal.org,664.0,0.0,629.0,35.0,35.0,57.0,19.0,,,,,,Our current focus is on safely reopening elementary schools for families who opt into on-campus learning. Middle and high schools to follow.																,KIPP KING COLLEGIATE HIGH - San Lorenzo Unified,No,Yes,,,,,,,,,,,,,,
3,01612590115014,01612590115014,11935,,Alameda,Oakland Unified,KIPP BRIDGE ACADEMY,Y,938,K,8,615432.0,66ac120f-287e-44d9-b80a-f2ac91a00bac,Yes,173050.0,633977.0,Yes,Charter,Oakland Unified,01612590115014,KIPP BRIDGE ACADEMY,37.810323,-122.279161,,Distance Learning Only,Yes,,,,,,,Yes,"CPP:  https://drive.google.com/file/d/1WX602CsyapAIDgf5IL574DMpxGWwPZKz/view
CHECKLIST:  https://drive.google.com/file/d/1JXCcVM379SJJjacYjWGobudWtimBEwpM/view?usp=sharing",covid.ops@kippnorcal.org,559.0,0.0,409.0,150.0,150.0,69.0,51.0,,,,,,Our current focus is on safely reopening elementary schools for families who opt into on-campus learning. Middle and high schools to follow.																,KIPP BRIDGE ACADEMY - Oakland Unified,Yes,No,,,,,,,,,,,,,,
4,01612590114363,01612590114363,12013,,Alameda,Oakland Unified,AMERICAN INDIAN PUBLIC CHARTER II,Y,882,K,8,548369.0,537085f5-24ff-4bcf-8752-f076d9109438,Yes,183715.0,753988.0,Yes,Charter,Oakland Unified,01612590114363,AMERICAN INDIAN PUBLIC CHARTER II,37.800368,-122.265486,,Distance Learning Only,No,,,1618426800000.0,,,,Yes, tinyurl.com/55d67v94,marisol.magana@aimsk12.org,655.0,0.0,466.0,189.0,,48.0,42.0,,,,,1619636400000.0,Securing PPE for all students and staff.,AMERICAN INDIAN PUBLIC CHARTER II - Oakland Unified,Yes,No,,,,,,,,,,,,,,
5,01612590115238,01612590115238,12040,,Alameda,Oakland Unified,ARISE HIGH,Y,837,9,12,399860.0,c461e545-500e-4d95-9c8b-676a08dcb08d,Yes,85906.0,363467.0,Yes,Charter,Oakland Unified,01612590115238,ARISE HIGH,37.776162,-122.225068,,Distance Learning Only,Yes,,,1628535600000.0,,,Disabilities EnglishLearners TechnologyAccess Disengaged FailingGrades SocialMentalHealthSupport,Yes,https://arisehighschool.org/covid19,leslie@arisehighschool.org,383.0,0.0,343.0,40.0,40.0,10.0,2.0,,,,,1628535600000.0,"want for community to be vaccinated, some facility fixes in the works",ARISE HIGH - Oakland Unified,No,Yes,,,,,,,,,,,,,,
6,01612590114868,01612590114868,12041,,Alameda,Oakland Unified,OAKLAND CHARTER HIGH,Y,883,9,12,505171.0,a742e51c-f9ab-4c02-90b8-b97049a6ad02,Yes,114625.0,463479.0,Yes,Charter,Oakland Unified,01612590114868,OAKLAND CHARTER HIGH,37.785856,-122.219617,,Distance Learning Only,Yes,,,1628535600000.0,,,Disabilities FosterCare Homeless EnglishLearners LowIncome TechnologyAccess Disengaged CreditDeficient RiskOfDroppingOut FailingGrades SocialMentalHealthSupport,Yes,https://ochs.amethodschools.org/apps/news/show_news.jsp?REC_ID=710468&id=0,gborja@amethodschools.org,453.0,0.0,441.0,12.0,35.0,50.0,10.0,,,,,1628535600000.0,"Covid transmission rates in the zip codes we serve are over 10 and 12%, families have expressed that they do not feel safe returning their students to in person learning because they are aware of the high covid rates in the community. ",OAKLAND CHARTER HIGH - Oakland Unified,No,Yes,,,,,,,,,,,,,,
7,01612590115592,01612590115592,12054,,Alameda,Oakland Unified,LEARNING WITHOUT LIMITS,Y,1442,K,5,415406.0,9eb69b66-6fdc-4f60-b4db-92fec54a9b63,Yes,139721.0,554506.0,Yes,Charter,Oakland Unified,01612590115592,LEARNING WITHOUT LIMITS,37.779349,-122.213259,,Distance Learning Only,No,,,1618858800000.0,,,,Yes,https://drive.google.com/file/d/1yHLdf9VHFfq-ZFJq3gXlAlcqYCdwdKCn/view,schari@efcps.net,420.0,155.0,265.0,0.0,,41.0,37.0,,,,,,In-person instruction offered to all groups to the greatest extent possible. Some families choose distance learning only and there are space constraints. We prioritize in-person instruction for targeted groups and full-day instruction for students as that's better for families and students.,LEARNING WITHOUT LIMITS - Oakland Unified,Yes,No,,,,,,,,,,,,,,
8,01612590115386,01612590115386,12056,,Alameda,Oakland Unified,CIVICORPS CORPSMEMBER ACADEMY,Y,948,9,Adult,66990.0,6b40a19a-23f3-48ed-8499-9cd6886ebcaa,Yes,0.0,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIVICORPS CORPSMEMBER ACADEMY - Oakland Unified,No,No,,,,,,,,,,,,,,
9,01612590118224,01612590118224,12331,,Alameda,Oakland Unified,ASPIRE GOLDEN STATE COLLEGE PREPARATORY ACADEMY,Y,1023,6,12,662057.0,be4e4cc0-f7f1-41d5-a85f-5d85c0a5dc0c,Yes,202929.0,805352.0,Yes,Charter,Oakland Unified,01612590118224,ASPIRE GOLDEN STATE COLLEGE PREPARATORY ACADEMY,37.759099,-122.198076,,Distance Learning Only,Yes,,,1628535600000.0,,,Disabilities FosterCare Homeless EnglishLearners LowIncome TechnologyAccess Disengaged CreditDeficient RiskOfDroppingOut FailingGrades SocialMentalHealthSupport,Yes,https://docs.google.com/document/d/1aCvv7NJlERjQEnWkFVAf0T6p8lSO1uIoLnGazxZ2bQs/edit,miguel.reyes@aspirepublicschools.org,606.0,0.0,606.0,0.0,30.0,62.0,16.0,,,,,,"Aspire is providing supplemental in person learning support for students who have been most disproportionately impacted in their ability to access and progress in the distance learning platform. 

The program will provide for closer touch points to accelerate academic progress and monitor overall student well being.  Aspire is exploring how to expand this offering to more students for the remainder of the school year.",ASPIRE GOLDEN STATE COLLEGE PREPARATORY ACADEMY - Oakland Unified,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,,
10,01611190119222,01611190119222,12399,,Alameda,Alameda Unified,NEA COMMUNITY LEARNING CENTER,Y,1066,K,12,361935.0,176ff986-6218-4f51-9b11-2b354f3d6e6a,Yes,47209.0,224484.0,Yes,Charter,Alameda Unified,01611190119222,NEA COMMUNITY LEARNING CENTER,37.779051,-122.287031,,Hybrid,,,,,,,,Yes,www.neaclc.org,Samantha.jeandebien@clcschools.org,590.0,0.0,210.0,380.0,,48.0,32.0,,,,,1619118000000.0,,NEA COMMUNITY LEARNING CENTER - Alameda Unified,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,,
11,01611920119248,01611920119248,12426,,Alameda,Hayward Unified,GOLDEN OAK MONTESSORI OF HAYWARD,Y,1067,1,8,128124.0,4131d174-e546-4180-82ad-4cdcdcfd3967,Yes,20782.0,74184.0,Yes,Charter,Hayward Unified,01611920119248,GOLDEN OAK MONTESSORI OF HAYWARD,37.687804,-122.069737,,Hybrid,,,,,,,,Yes,https://drive.google.com/file/d/1QAUCQapGt1UaTMaP25i10HkLrur6i8Yz/view,info@goldenoakmontessori.org,304.0,0.0,104.0,200.0,,33.0,32.0,,,,,1617735600000.0,,GOLDEN OAK MONTESSORI OF HAYWARD - Hayward Unified,Yes,No,No,,,,,,,,,,,," We will offer Extended School Year for SpEd students, but will not create a summer learning option for the general population due to staffing limitations, and a short summer break. (Our school ends later/starts earlier than our authorizing district.)",
12,01612590120188,01612590120188,12542,,Alameda,Oakland Unified,ASPIRE ERES ACADEMY,Y,1115,K,8,262842.0,57d24cfb-70b9-4743-8793-0af044deb06c,Yes,76641.0,306607.0,Yes,Charter,Oakland Unified,01612590120188,ASPIRE ERES ACADEMY,37.775676,-122.212063,,Distance Learning Only,Yes,,,1628535600000.0,,,Disabilities FosterCare Homeless EnglishLearners LowIncome TechnologyAccess Disengaged CreditDeficient RiskOfDroppingOut FailingGrades SocialMentalHealthSupport,Yes,https://docs.google.com/document/d/1aCvv7NJlERjQEnWkFVAf0T6p8lSO1uIoLnGazxZ2bQs/edit,miguel.reyes@aspirepublicschools.org,221.0,0.0,221.0,0.0,25.0,31.0,8.0,,,,,,"Aspire is providing supplemental in person learning support for students who have been most disproportionately impacted in their ability to access and progress in the distance learning platform. 

The program will provide for closer touch points to accelerate academic progress and monitor overall student well being.  Aspire is exploring how to expand this offering to more students for the remainder of the school year.",ASPIRE ERES ACADEMY - Oakland Unified,Yes,No,No,,,,,,,,,,,,Aspire ERES will be permanently closing at the end of the 2020-2021 school year. ,
